"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 07 10:12:40 IST 2023","Wed Jun 07 10:12:43 IST 2023","3099","Digital Codes Smoke test","Smoke test for Premium user","com.Digitalcodes.testcases.PremiumTools_QuickAccess_Test","com.Digitalcodes.testcases.PremiumTools_QuickAccess_Test","TC37_verifyRecentlyQuickAccessedSections_QuickAccess","Verify user able to view Recently Accessed Section at Quick Access",""
"passed","Wed Jun 07 10:11:36 IST 2023","Wed Jun 07 10:11:46 IST 2023","10475","Digital Codes Smoke test","Smoke test for Premium user","com.Digitalcodes.testcases.Login_Test","com.Digitalcodes.testcases.Login_Test","TC01_loginValidData","User able to Login with valid creditionls",""
"passed","Wed Jun 07 10:12:09 IST 2023","Wed Jun 07 10:12:24 IST 2023","14747","Digital Codes Smoke test","Smoke test for Premium user","com.Digitalcodes.testcases.PremiumTools_QuickAccess_Test","com.Digitalcodes.testcases.PremiumTools_QuickAccess_Test","TC34_verifyAccessSection_QuickAccess","Verify user able to Access section from Quick Access",""
"failed","Wed Jun 07 10:11:48 IST 2023","Wed Jun 07 10:12:08 IST 2023","20699","Digital Codes Smoke test","Smoke test for Premium user","com.Digitalcodes.testcases.Login_Test","com.Digitalcodes.testcases.Login_Test","TC02_verifyUserInformation","Verify User able to displyed Subscription type, Name, email ",""
"failed","Wed Jun 07 10:12:24 IST 2023","Wed Jun 07 10:12:39 IST 2023","15115","Digital Codes Smoke test","Smoke test for Premium user","com.Digitalcodes.testcases.PremiumTools_QuickAccess_Test","com.Digitalcodes.testcases.PremiumTools_QuickAccess_Test","TC35_verifyActionsOnSection_QuickAccess","Verify user able to Jump, Copy, Print, Share, Bookmark Section from Quick Access",""
